0563	brace-expansion	partial leading expansion 2
0564	brace-expansion	} in expansion
0565	brace-expansion	single expansion
0566	brace-expansion	double expansion
0567	brace-expansion	triple expansion
0568	brace-expansion	double expansion with single and double quotes
0569	brace-expansion	expansion with mixed quotes
0570	brace-expansion	expansion with simple var
0571	brace-expansion	double expansion with simple var -- bash bug
0572	brace-expansion	double expansion with braced variable
0573	brace-expansion	double expansion with literal and simple var
0574	brace-expansion	expansion with command sub
0575	brace-expansion	expansion with arith sub
0576	brace-expansion	double expansion with escaped literals
0577	brace-expansion	{ in expansion
0578	brace-expansion	quoted { in expansion
0579	brace-expansion	Empty expansion
0580	brace-expansion	Empty alternative
0581	brace-expansion	Empty alternative with empty string suffix
0582	brace-expansion	nested brace expansion
0583	brace-expansion	triple nested brace expansion
0584	brace-expansion	nested and double brace expansion
0585	brace-expansion	expansion on RHS of assignment
0586	brace-expansion	no expansion with RHS assignment
0587	brace-expansion	Tilde expansion
0588	brace-expansion	Tilde expansion with brace expansion
0589	brace-expansion	Two kinds of tilde expansion
0590	brace-expansion	Tilde expansion come before var expansion
0591	brace-expansion	Number range expansion
0592	brace-expansion	Ascending number range expansion with negative step is invalid
0593	brace-expansion	regression: -1 step disallowed
0594	brace-expansion	regression: 0 step disallowed
0595	brace-expansion	Descending number range expansion with positive step is invalid
0596	brace-expansion	Descending number range expansion with negative step
0597	brace-expansion	Singleton ranges
0598	brace-expansion	Singleton char ranges with steps
0599	brace-expansion	Char range expansion
0600	brace-expansion	Char range expansion with step
0601	brace-expansion	Char ranges with steps of the wrong sign
0602	brace-expansion	Mixed case char expansion is invalid
0603	brace-expansion	Descending char range expansion
0604	brace-expansion	Fixed width number range expansion
0605	brace-expansion	Inconsistent fixed width number range expansion
0606	brace-expansion	Inconsistent fixed width number range expansion
0607	brace-expansion	Adjacent comma and range works
0608	brace-expansion	Range inside comma works
0609	brace-expansion	Mixed comma and range doesn't work
0610	brace-expansion	comma and invalid range (adjacent and nested)
0611	brace-expansion	OSH provides an alternative to invalid syntax
0612	brace-expansion	Side effect in expansion
0613	brace-expansion	Invalid brace expansions don't expand
0614	brace-expansion	Invalid brace expansions mixing characters and numbers
0615	bugs	echo keyword
0616	bugs	if/else
0617	bugs	Turn an array into an integer.
0618	bugs	assign readonly -- one line
0619	bugs	assign readonly -- multiple lines
0620	bugs	assign readonly -- multiple lines -- set -o posix
0621	bugs	unset readonly -- one line
0622	bugs	unset readonly -- multiple lines
0623	bugs	First word like foo$x() and foo$[1+2] (regression)
0624	bugs	Function names
0625	bugs	file with NUL byte
0626	bugs	fastlex: PS1 format string that's incomplete / with NUL byte
0627	bugs	'echo' and printf fail on writing to full disk
0628	bugs	other builtins fail on writing to full disk
0629	bugs	subshell while running a script (regression)
0630	bugs	for loop (issue #1446)
0631	bugs	for loop 2 (issue #1446)
0632	bugs	autoconf word split (#1449)
0633	bugs	autoconf arithmetic - relaxed eval_unsafe_arith (#1450)
0634	bugs	command execution $(echo 42 | tee PWNED) not allowed
0635	bugs	process sub <(echo 42 | tee PWNED) not allowed
0636	bugs	unset doesn't allow command execution
0637	bugs	printf integer size bug
0638	bugs	(( status bug
0639	bugs	autotools as_fn_arith bug in configure
0640	bugs	OSH can use ARGV name
0641	bugs	Crash in {1..10} - issue #2296
0642	bugs	Crash after changing $[] to be alias of $(( ))
0643	bugs	#2640 Hanging when reading from character devices
0644	builtin-bash	help
0645	builtin-bash	bad help topic
0646	builtin-bash	mapfile
0647	builtin-bash	readarray (synonym for mapfile)
0648	builtin-bash	mapfile (array name): arr
0649	builtin-bash	mapfile (delimiter): -d delim
0650	builtin-bash	mapfile (delimiter): -d '' (null-separated)
0651	builtin-bash	mapfile (truncate delim): -t
0652	builtin-bash	mapfile -t doesn't remove \r
0653	builtin-bash	mapfile -t bugs (ble.sh)
0654	builtin-bash	mapfile (store position): -O start
